Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,Time Period Start Date,Time Period End Date,Value,Low CI,High CI,Confidence Interval,Quartile Range,Suppression Flag,Quartile Number
"Adults who sometimes, rarely, or never get the social and emotional support they need",National Estimate,United States,United States,4,64,"Jan 9 - Feb 5, 2024",01/09/2024 12:00:00 AM,02/05/2024 12:00:00 AM,40.3,39.5,41,39.5 - 41.0,,,
"Adults who sometimes, rarely, or never get the social and emotional support they need",By Age,United States,18 - 29 years,4,64,"Jan 9 - Feb 5, 2024",01/09/2024 12:00:00 AM,02/05/2024 12:00:00 AM,48.2,45.1,51.4,45.1 - 51.4,,,
"Adults who sometimes, rarely, or never get the social and emotional support they need",By Age,United States,30 - 39 years,4,64,"Jan 9 - Feb 5, 2024",01/09/2024 12:00:00 AM,02/05/2024 12:00:00 AM,45.4,43.9,46.9,43.9 - 46.9,,,
"Adults who sometimes, rarely, or never get the social and emotional support they need",By Age,United States,40 - 49 years,4,64,"Jan 9 - Feb 5, 2024",01/09/2024 12:00:00 AM,02/05/2024 12:00:00 AM,44.7,42.9,46.5,42.9 - 46.5,,,
"Adults who sometimes, rarely, or never get the social and emotional support they need",By Age,United States,50 - 59 years,4,64,"Jan 9 - Feb 5, 2024",01/09/2024 12:00:00 AM,02/05/2024 12:00:00 AM,42.7,41.1,44.3,41.1 - 44.3,,,
"Adults who sometimes, rarely, or never get the social and emotional support they need",By Age,United States,60 - 69 years,4,64,"Jan 9 - Feb 5, 2024",01/09/2024 12:00:00 AM,02/05/2024 12:00:00 AM,34.4,32.7,36.2,32.7 - 36.2,,,
"Adults who sometimes, rarely, or never get the social and emotional support they need",By Age,United States,70 - 79 years,4,64,"Jan 9 - Feb 5, 2024",01/09/2024 12:00:00 AM,02/05/2024 12:00:00 AM,24.5,23.2,25.8,23.2 - 25.8,,,
"Adults who sometimes, rarely, or never get the social and emotional support they need",By Age,United States,80 years and above,4,64,"Jan 9 - Feb 5, 2024",01/09/2024 12:00:00 AM,02/05/2024 12:00:00 AM,23,20.2,26,20.2 - 26.0,,,
"Adults who sometimes, rarely, or never get the social and emotional support they need",By Sex,United States,Male,4,64,"Jan 9 - Feb 5, 2024",01/09/2024 12:00:00 AM,02/05/2024 12:00:00 AM,42.3,41,43.6,41.0 - 43.6,,,
"Adults who sometimes, rarely, or never get the social and emotional support they need",By Sex,United States,Female,4,64,"Jan 9 - Feb 5, 2024",01/09/2024 12:00:00 AM,02/05/2024 12:00:00 AM,38.4,37.3,39.4,37.3 - 39.4,,,
"Adults who sometimes, rarely, or never get the social and emotional support they need",By Gender identity,United States,Cis-gender male,4,64,"Jan 9 - Feb 5, 2024",01/09/2024 12:00:00 AM,02/05/2024 12:00:00 AM,42.1,40.3,43.9,40.3 - 43.9,,,
"Adults who sometimes, rarely, or never get the social and emotional support they need",By Gender identity,United States,Cis-gender female,4,64,"Jan 9 - Feb 5, 2024",01/09/2024 12:00:00 AM,02/05/2024 12:00:00 AM,36.2,34.6,37.7,34.6 - 37.7,,,
"Adults who sometimes, rarely, or never get the social and emotional support they need",By Gender identity,United States,Transgender,4,64,"Jan 9 - Feb 5, 2024",01/09/2024 12:00:00 AM,02/05/2024 12:00:00 AM,62.6,49.6,74.4,49.6 - 74.4,,,
"Adults who sometimes, rarely, or never get the social and emotional support they need",By Sexual orientation,United States,Gay or lesbian,4,64,"Jan 9 - Feb 5, 2024",01/09/2024 12:00:00 AM,02/05/2024 12:00:00 AM,42.8,39.5,46.2,39.5 - 46.2,,,
"Adults who sometimes, rarely, or never get the social and emotional support they need",By Sexual orientation,United States,Straight,4,64,"Jan 9 - Feb 5, 2024",01/09/2024 12:00:00 AM,02/05/2024 12:00:00 AM,38.5,37.7,39.3,37.7 - 39.3,,,
"Adults who sometimes, rarely, or never get the social and emotional support they need",By Sexual orientation,United States,Bisexual,4,64,"Jan 9 - Feb 5, 2024",01/09/2024 12:00:00 AM,02/05/2024 12:00:00 AM,51.3,48,54.6,48.0 - 54.6,,,
"Adults who sometimes, rarely, or never get the social and emotional support they need",By Race/Hispanic ethnicity,United States,Hispanic or Latino,4,64,"Jan 9 - Feb 5, 2024",01/09/2024 12:00:00 AM,02/05/2024 12:00:00 AM,51.9,49.4,54.4,49.4 - 54.4,,,
"Adults who sometimes, rarely, or never get the social and emotional support they need",By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",4,64,"Jan 9 - Feb 5, 2024",01/09/2024 12:00:00 AM,02/05/2024 12:00:00 AM,35.2,34.5,36.1,34.5 - 36.1,,,
"Adults who sometimes, rarely, or never get the social and emotional support they need",By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",4,64,"Jan 9 - Feb 5, 2024",01/09/2024 12:00:00 AM,02/05/2024 12:00:00 AM,43.5,41.2,45.8,41.2 - 45.8,,,
"Adults who sometimes, rarely, or never get the social and emotional support they need",By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",4,64,"Jan 9 - Feb 5, 2024",01/09/2024 12:00:00 AM,02/05/2024 12:00:00 AM,47.9,45,50.9,45.0 - 50.9,,,
"Adults who sometimes, rarely, or never get the social and emotional support they need",By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",4,64,"Jan 9 - Feb 5, 2024",01/09/2024 12:00:00 AM,02/05/2024 12:00:00 AM,47.2,43.7,50.7,43.7 - 50.7,,,
"Adults who sometimes, rarely, or never get the social and emotional support they need",By Education,United States,Less than a high school diploma,4,64,"Jan 9 - Feb 5, 2024",01/09/2024 12:00:00 AM,02/05/2024 12:00:00 AM,59,56.1,61.9,56.1 - 61.9,,,
"Adults who sometimes, rarely, or never get the social and emotional support they need",By Education,United States,High school diploma or GED,4,64,"Jan 9 - Feb 5, 2024",01/09/2024 12:00:00 AM,02/05/2024 12:00:00 AM,43.1,41.3,44.8,41.3 - 44.8,,,
"Adults who sometimes, rarely, or never get the social and emotional support they need",By Education,United States,Some college/Associate's degree,4,64,"Jan 9 - Feb 5, 2024",01/09/2024 12:00:00 AM,02/05/2024 12:00:00 AM,43.2,41.9,44.5,41.9 - 44.5,,,
"Adults who sometimes, rarely, or never get the social and emotional support they need",By Education,United States,Bachelor's degree or higher,4,64,"Jan 9 - Feb 5, 2024",01/09/2024 12:00:00 AM,02/05/2024 12:00:00 AM,31.2,30.4,32,30.4 - 32.0,,,
"Adults who sometimes, rarely, or never get the social and emotional support they need",By Disability status,United States,With disability,4,64,"Jan 9 - Feb 5, 2024",01/09/2024 12:00:00 AM,02/05/2024 12:00:00 AM,58.4,56.3,60.5,56.3 - 60.5,,,
"Adults who sometimes, rarely, or never get the social and emotional support they need",By Disability status,United States,Without disability,4,64,"Jan 9 - Feb 5, 2024",01/09/2024 12:00:00 AM,02/05/2024 12:00:00 AM,37.8,37.1,38.5,37.1 - 38.5,,,
"Adults who sometimes, rarely, or never get the social and emotional support they need",By State,Alabama,Alabama,4,64,"Jan 9 - Feb 5, 2024",01/09/2024 12:00:00 AM,02/05/2024 12:00:00 AM,40.5,36.3,44.8,36.3 - 44.8,39.3-41.2,,3
"Adults who sometimes, rarely, or never get the social and emotional support they need",By State,Alaska,Alaska,4,64,"Jan 9 - Feb 5, 2024",01/09/2024 12:00:00 AM,02/05/2024 12:00:00 AM,44.6,40.2,49,40.2 - 49.0,41.3-47.9,,4
"Adults who sometimes, rarely, or never get the social and emotional support they need",By State,Arizona,Arizona,4,64,"Jan 9 - Feb 5, 2024",01/09/2024 12:00:00 AM,02/05/2024 12:00:00 AM,39.5,36.3,42.7,36.3 - 42.7,39.3-41.2,,3
"Adults who sometimes, rarely, or never get the social and emotional support they need",By State,Arkansas,Arkansas,4,64,"Jan 9 - Feb 5, 2024",01/09/2024 12:00:00 AM,02/05/2024 12:00:00 AM,41.5,36.7,46.4,36.7 - 46.4,41.3-47.9,,4
"Adults who sometimes, rarely, or never get the social and emotional support they need",By State,California,California,4,64,"Jan 9 - Feb 5, 2024",01/09/2024 12:00:00 AM,02/05/2024 12:00:00 AM,44.4,41.4,47.6,41.4 - 47.6,41.3-47.9,,4
"Adults who sometimes, rarely, or never get the social and emotional support they need",By State,Colorado,Colorado,4,64,"Jan 9 - Feb 5, 2024",01/09/2024 12:00:00 AM,02/05/2024 12:00:00 AM,37.9,33.6,42.4,33.6 - 42.4,37.1-39.2,,2
"Adults who sometimes, rarely, or never get the social and emotional support they need",By State,Connecticut,Connecticut,4,64,"Jan 9 - Feb 5, 2024",01/09/2024 12:00:00 AM,02/05/2024 12:00:00 AM,41.7,36.5,47,36.5 - 47.0,41.3-47.9,,4
"Adults who sometimes, rarely, or never get the social and emotional support they need",By State,Delaware,Delaware,4,64,"Jan 9 - Feb 5, 2024",01/09/2024 12:00:00 AM,02/05/2024 12:00:00 AM,34.4,28.8,40.3,28.8 - 40.3,29.7-37.0,,1
"Adults who sometimes, rarely, or never get the social and emotional support they need",By State,District of Columbia,District of Columbia,4,64,"Jan 9 - Feb 5, 2024",01/09/2024 12:00:00 AM,02/05/2024 12:00:00 AM,33.1,26.9,39.9,26.9 - 39.9,29.7-37.0,,1
"Adults who sometimes, rarely, or never get the social and emotional support they need",By State,Florida,Florida,4,64,"Jan 9 - Feb 5, 2024",01/09/2024 12:00:00 AM,02/05/2024 12:00:00 AM,39.8,35.8,44,35.8 - 44.0,39.3-41.2,,3
"Adults who sometimes, rarely, or never get the social and emotional support they need",By State,Georgia,Georgia,4,64,"Jan 9 - Feb 5, 2024",01/09/2024 12:00:00 AM,02/05/2024 12:00:00 AM,42.3,38.1,46.5,38.1 - 46.5,41.3-47.9,,4
"Adults who sometimes, rarely, or never get the social and emotional support they need",By State,Hawaii,Hawaii,4,64,"Jan 9 - Feb 5, 2024",01/09/2024 12:00:00 AM,02/05/2024 12:00:00 AM,42.8,36.2,49.5,36.2 - 49.5,41.3-47.9,,4
"Adults who sometimes, rarely, or never get the social and emotional support they need",By State,Idaho,Idaho,4,64,"Jan 9 - Feb 5, 2024",01/09/2024 12:00:00 AM,02/05/2024 12:00:00 AM,36.7,32.9,40.6,32.9 - 40.6,29.7-37.0,,1
"Adults who sometimes, rarely, or never get the social and emotional support they need",By State,Illinois,Illinois,4,64,"Jan 9 - Feb 5, 2024",01/09/2024 12:00:00 AM,02/05/2024 12:00:00 AM,40,36.5,43.5,36.5 - 43.5,39.3-41.2,,3
"Adults who sometimes, rarely, or never get the social and emotional support they need",By State,Indiana,Indiana,4,64,"Jan 9 - Feb 5, 2024",01/09/2024 12:00:00 AM,02/05/2024 12:00:00 AM,36.4,32.1,40.8,32.1 - 40.8,29.7-37.0,,1
"Adults who sometimes, rarely, or never get the social and emotional support they need",By State,Iowa,Iowa,4,64,"Jan 9 - Feb 5, 2024",01/09/2024 12:00:00 AM,02/05/2024 12:00:00 AM,40.5,36.2,44.9,36.2 - 44.9,39.3-41.2,,3
"Adults who sometimes, rarely, or never get the social and emotional support they need",By State,Kansas,Kansas,4,64,"Jan 9 - Feb 5, 2024",01/09/2024 12:00:00 AM,02/05/2024 12:00:00 AM,38.2,35,41.6,35.0 - 41.6,37.1-39.2,,2
"Adults who sometimes, rarely, or never get the social and emotional support they need",By State,Kentucky,Kentucky,4,64,"Jan 9 - Feb 5, 2024",01/09/2024 12:00:00 AM,02/05/2024 12:00:00 AM,41.4,36.6,46.3,36.6 - 46.3,41.3-47.9,,4
"Adults who sometimes, rarely, or never get the social and emotional support they need",By State,Louisiana,Louisiana,4,64,"Jan 9 - Feb 5, 2024",01/09/2024 12:00:00 AM,02/05/2024 12:00:00 AM,42.4,37.6,47.3,37.6 - 47.3,41.3-47.9,,4
"Adults who sometimes, rarely, or never get the social and emotional support they need",By State,Maine,Maine,4,64,"Jan 9 - Feb 5, 2024",01/09/2024 12:00:00 AM,02/05/2024 12:00:00 AM,36.9,32.7,41.3,32.7 - 41.3,29.7-37.0,,1
"Adults who sometimes, rarely, or never get the social and emotional support they need",By State,Maryland,Maryland,4,64,"Jan 9 - Feb 5, 2024",01/09/2024 12:00:00 AM,02/05/2024 12:00:00 AM,39.5,35.3,43.7,35.3 - 43.7,39.3-41.2,,3
"Adults who sometimes, rarely, or never get the social and emotional support they need",By State,Massachusetts,Massachusetts,4,64,"Jan 9 - Feb 5, 2024",01/09/2024 12:00:00 AM,02/05/2024 12:00:00 AM,35.7,32.4,39.2,32.4 - 39.2,29.7-37.0,,1
"Adults who sometimes, rarely, or never get the social and emotional support they need",By State,Michigan,Michigan,4,64,"Jan 9 - Feb 5, 2024",01/09/2024 12:00:00 AM,02/05/2024 12:00:00 AM,36.4,33.2,39.8,33.2 - 39.8,29.7-37.0,,1
"Adults who sometimes, rarely, or never get the social and emotional support they need",By State,Minnesota,Minnesota,4,64,"Jan 9 - Feb 5, 2024",01/09/2024 12:00:00 AM,02/05/2024 12:00:00 AM,37,33.4,40.7,33.4 - 40.7,29.7-37.0,,1
